"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch"
"1235",76714,"Filipek, Ron","Ron Filipek",FALSE,1967,1967,"HISTADD_ron_filipek",0,"","","","","Y","00"
"1236",76715,"Fillmore, Greg","Greg Fillmore",FALSE,1970,1971,"HISTADD_greg_fillmore",0,"","","","","Y","00"
"1237",76716,"Finkel, Hank","Hank Finkel",FALSE,1966,1974,"HISTADD_hank_finkel",0,"","","","","Y","00"
"1238",714,"Finley, Michael","Michael Finley",FALSE,1995,2009,"michael_finley",0,"","","","","Y","00"
"1239",76717,"Finn, Danny","Danny Finn",FALSE,1952,1954,"HISTADD_danny_finn",0,"","","","","Y","00"
"1240",1627827,"Finney-Smith, Dorian","Dorian Finney-Smith",FALSE,2016,2019,"dorian_finney-smith",0,"","","","","Y","00"
"1241",900,"Fish, Matt","Matt Fish",FALSE,1994,1996,"matt_fish",0,"","","","","Y","00"
"1242",965,"Fisher, Derek","Derek Fisher",FALSE,1996,2013,"derek_fisher",0,"","","","","Y","00"
"1243",2809,"Fitch, Gerald","Gerald Fitch",FALSE,2005,2005,"gerald_fitch",0,"","","","","Y","01"
"1244",76720,"Fitzgerald, Bob","Bob Fitzgerald",FALSE,1946,1948,"HISTADD_bob_fitzgerald",0,"","","","","Y","00"
"1245",76719,"Fitzgerald, Dick","Dick Fitzgerald",FALSE,1946,1947,"HISTADD_dick_fitzgerald",0,"","","","","Y","00"
"1246",2033,"Fizer, Marcus","Marcus Fizer",FALSE,2000,2005,"marcus_fizer",0,"","","","","Y","01"
"1247",76721,"Fleishman, Jerry","Jerry Fleishman",FALSE,1946,1952,"HISTADD_jerry_fleishman",0,"","","","","Y","00"
"1248",76722,"Fleming, Al","Al Fleming",FALSE,1977,1977,"HISTADD_al_fleming",0,"","","","","Y","00"
"1249",76723,"Fleming, Ed","Ed Fleming",FALSE,1955,1959,"HISTADD_ed_fleming",0,"","","","","Y","00"
"1250",313,"Fleming, Vern","Vern Fleming",FALSE,1984,1995,"vern_fleming",0,"","","","","Y","00"
"1251",2784,"Flores, Luis","Luis Flores",FALSE,2004,2004,"luis_flores",0,"","","","","Y","00"
"1252",76725,"Flowers, Bruce","Bruce Flowers",FALSE,1982,1982,"HISTADD_bruce_flowers",0,"","","","","Y","00"
"1253",76726,"Floyd, Sleepy","Sleepy Floyd",FALSE,1982,1994,"HISTADD_sleepy_floyd",0,"","","","","Y","00"
"1254",201938,"Flynn, Jonny","Jonny Flynn",FALSE,2009,2011,"jonny_flynn",0,"","","","","Y","01"
"1255",76727,"Flynn, Mike","Mike Flynn",FALSE,1976,1977,"HISTADD_mike_flynn",0,"","","","","Y","00"
"1256",76728,"Fogle, Larry","Larry Fogle",FALSE,1975,1975,"HISTADD_larry_fogle",0,"","","","","Y","00"
"1257",76729,"Foley, Jack","Jack Foley",FALSE,1962,1962,"HISTADD_jack_foley",0,"","","","","Y","00"
"1258",1829,"Fontaine, Ike","Ike Fontaine",FALSE,2001,2001,"ike_fontaine",0,"","","","","Y","00"
"1259",76731,"Fontaine, Levi","Levi Fontaine",FALSE,1970,1970,"HISTADD_levi_fontaine",0,"","","","","Y","00"
"1260",202880,"Foote, Jeff","Jeff Foote",FALSE,2011,2011,"jeff_foote",0,"","","","","Y","01"
"1261",1627854,"Forbes, Bryn","Bryn Forbes",FALSE,2016,2019,"bryn_forbes",0,"","","","","Y","01"
"1262",201814,"Forbes, Gary","Gary Forbes",FALSE,2010,2011,"gary_forbes",0,"","","","","Y","11"
"1263",76732,"Ford, Alphonso","Alphonso Ford",FALSE,1993,1994,"HISTADD_alphonso_ford",0,"","","","","Y","00"
"1264",2228,"Ford, Alton","Alton Ford",FALSE,2001,2003,"alton_ford",0,"","","","","Y","01"
"1265",76733,"Ford, Chris","Chris Ford",FALSE,1972,1981,"HISTADD_chris_ford",0,"","","","","Y","00"
"1266",76734,"Ford, Don","Don Ford",FALSE,1975,1981,"HISTADD_don_ford",0,"","","","","Y","00"
"1267",76735,"Ford, Jake","Jake Ford",FALSE,1970,1971,"HISTADD_jake_ford",0,"","","","","Y","00"
"1268",76736,"Ford, Phil","Phil Ford",FALSE,1978,1984,"HISTADD_phil_ford",0,"","","","","Y","00"
"1269",101213,"Ford, Sharrod","Sharrod Ford",FALSE,2005,2005,"sharrod_ford",0,"","","","","Y","01"
"1270",726,"Ford, Sherell","Sherell Ford",FALSE,1995,1995,"sherell_ford",0,"","","","","Y","00"
"1271",2551,"Ford, T.J.","T.J. Ford",FALSE,2003,2011,"t.j._ford",0,"","","","","Y","00"
"1272",76738,"Forman, Donnie","Donnie Forman",FALSE,1948,1948,"HISTADD_donnie_forman",0,"","","","","Y","00"
"1273",76739,"Forrest, Bayard","Bayard Forrest",FALSE,1977,1978,"HISTADD_bayard_forrest",0,"","","","","Y","00"
"1274",2218,"Forte, Joseph","Joseph Forte",FALSE,2001,2002,"joseph_forte",0,"","","","","Y","00"
"1275",202622,"Fortson, Courtney","Courtney Fortson",FALSE,2011,2011,"courtney_fortson",0,"","","","","Y","01"
"1276",1504,"Fortson, Danny","Danny Fortson",FALSE,1997,2006,"danny_fortson",0,"","","","","Y","00"
"1277",76740,"Foster, Fred","Fred Foster",FALSE,1968,1976,"HISTADD_fred_foster",0,"","","","","Y","00"
